TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
123,51.23923789411765,14.138338494117647,5.481232952941176,26.598605711764705,55.51940018235294,454.87961877058825,253.3988847352941,93,17,4803,500FGF_2_241223,TE,5.1538733395240675,3.501384311883484,2.1829025948224823,4.690541576194983,4.058054008281398,500ng/ml FGF,Batch 2
124,68.41045291666667,15.242065616666666,6.287907816666667,0.7771163666666666,40.045786066666665,243.33535086666666,368.90810331666665,88.5,6,1321,500FGF_2_241223,TE,5.383988083363505,3.5353033550335384,2.2968975683525956,1.0894322407286054,3.729346302846087,500ng/ml FGF,Batch 2
126,49.95217407142857,11.695949757142857,5.178736571428572,16.059301785714286,32.84141678571429,229.64234134285715,60.332078432857145,90,7,1494,500FGF_2_241223,TE,5.0891639512455304,3.2842386630026903,2.110600705630861,4.1404999614149265,3.5316802718870797,500ng/ml FGF,Batch 2
127,23.5702534,10.617098175,9.778986575000001,1.218338675,38.66260005,265.54758165,394.406967925,88.5,4,796,500FGF_2_241223,TE,4.318450698699513,3.1737128697154606,2.738499352563565,1.539039008472732,3.694195666803459,500ng/ml FGF,Batch 2
134,26.602091976923077,11.83138776923077,5.427069584615384,11.914475476923077,26.0949389,192.43372986923077,407.1549685,98,13,3268,500FGF_2_241223,TE,4.563809175125716,3.3690841610267928,2.1988620420234724,3.963230694234534,3.3052863993610324,500ng/ml FGF,Batch 2
137,22.962601375,9.175270099999999,4.37796795,3.92995315,31.56914115,187.9046732,71.217993105,95.5,4,817,500FGF_2_241223,TE,4.383961891148642,3.0919261399367626,1.971106811249126,2.816226566292462,3.494613704301675,500ng/ml FGF,Batch 2
142,48.19232436,17.79627426,7.81948088,1.12157358,37.427121,238.22519936,362.52576122,98,5,1146,500FGF_2_241223,TE,5.158017395335245,3.7773144718319713,2.564075256326582,1.600290051472672,3.6659394574619424,500ng/ml FGF,Batch 2
147,49.36333645,12.079649063636364,5.091338577272727,17.508174331818182,34.442945577272724,281.35477795,61.235285497727276,107.5,22,6311,500FGF_2_241223,TE,5.3063801242550195,3.476932162455163,2.184195746887813,4.492141271449927,3.5870691196238247,500ng/ml FGF,Batch 2
152,57.359165614999995,12.718920395,5.2135898549999995,12.848988024999999,32.281721335,114.84680702,120.714105585,110.5,20,4646,500FGF_2_241223,TE,5.495774384074849,3.5559998685434184,2.223457167885604,4.228214038051984,3.523599170779936,500ng/ml FGF,Batch 2
156,12.838192333333334,14.40374025,5.402229466666666,4.495792833333334,31.8826596,338.5196388333333,89.06917935333334,104.5,6,2414,500FGF_2_241223,TE,3.9203325565065374,3.6253970145711514,2.2279315622202747,3.087158442864676,3.508494531487639,500ng/ml FGF,Batch 2
160,27.67669722727273,11.455534427272728,4.869852754545454,14.439089627272727,34.30377499090909,397.2074787454545,134.69279868181818,114.5,22,6327,500FGF_2_241223,TE,4.819394226575872,3.488049136619749,2.175965585196638,4.405518567599144,3.586130418405023,500ng/ml FGF,Batch 2
163,51.01744598,13.25021224,5.32308888,20.68000948,30.69317748,156.04380644,77.706613922,107,5,938,500FGF_2_241223,TE,5.332794761988941,3.564839596558505,2.2261188638940714,4.651061107475942,3.4715835197044487,500ng/ml FGF,Batch 2
167,30.4927705,13.014104300000001,5.1549558,11.52803795,32.728668625000005,339.0799007,427.697116225,108.5,4,997,500FGF_2_241223,TE,4.837752983802993,3.5606096703124237,2.201791273014117,4.08941634735946,3.536460775963025,500ng/ml FGF,Batch 2
173,62.3523189909091,12.154904418181818,5.143773618181818,18.23324020909091,25.990248154545455,145.50410205454546,87.28417347545454,115,11,3197,500FGF_2_241223,TE,5.6381472553035366,3.551891673113725,2.2332767688514625,4.646403273019414,3.308819490289289,500ng/ml FGF,Batch 2
175,38.66965186666667,13.739542700000001,5.154777233333333,23.419916875,32.27170950833334,62.61993577583333,310.220923075,117.5,12,2822,500FGF_2_241223,TE,5.1931273625463135,3.6973523035538247,2.2483586607501667,4.934637151154869,3.5263990689952704,500ng/ml FGF,Batch 2
177,25.70634115,11.154816525,5.09601635,8.897012925,32.03940945,329.0371133,87.24412483,114.5,4,786,500FGF_2_241223,TE,4.745541398531977,3.461447782602901,2.221360099116444,3.921299389366906,3.517841908651899,500ng/ml FGF,Batch 2
180,34.32077616666667,13.405438183333333,5.215614166666667,21.067258966666667,41.752204991666666,65.7245372675,343.00939300833335,119.5,12,2713,500FGF_2_241223,TE,5.100003386600068,3.691067995985814,2.2704473885229,4.859086624562969,3.784848245229511,500ng/ml FGF,Batch 2
186,27.13358634736842,10.118680752631578,4.861230189473685,3.604421321052632,32.37756881578947,412.6310853842105,378.76149148947366,127,19,5712,500FGF_2_241223,TE,4.963200237594732,3.4785422135781108,2.2389184896275767,3.207234522100525,3.5338947705977928,500ng/ml FGF,Batch 2
188,34.246299888888885,10.486725744444444,4.728430022222222,15.981285327777778,35.10533322777778,251.65970515555554,60.15134403,128.5,18,4775,500FGF_2_241223,TE,5.215640621447903,3.5280186061037275,2.2189877688647037,4.7192069284374245,3.615448177505054,500ng/ml FGF,Batch 2
190,16.159900099999998,8.36689686,4.51704798,3.7220555199999996,32.1248863,283.64378144,62.612696216,122,5,1261,500FGF_2_241223,TE,4.379513528928567,3.2426114187842225,2.13959718918363,3.163559288896804,3.523838447310104,500ng/ml FGF,Batch 2
195,46.80426716,11.152576999999999,4.85085876,9.56571092,28.363676580000003,118.6457907,122.6589253,124,5,933,500FGF_2_241223,TE,5.469130892940589,3.5483290112144976,2.221248746357286,4.137767404616881,3.400205784661341,500ng/ml FGF,Batch 2
199,34.04176905714286,10.497512264285715,4.849559057142857,9.972660242857142,42.392767528571426,137.78341832857143,436.18352724285717,130.5,14,3692,500FGF_2_241223,TE,5.2358302942055035,3.547379711315865,2.254637803291529,4.27795537884215,3.804960991202872,500ng/ml FGF,Batch 2
200,53.867738707142856,11.726189642857143,4.861989935714286,15.37586855,29.092528900000005,61.43539536071428,310.34578565,131.5,14,3716,500FGF_2_241223,TE,5.707862654364632,3.667231710401882,2.262375774763264,4.7260616240802404,3.4289099992579772,500ng/ml FGF,Batch 2
202,17.934453857142856,10.175472857142857,4.728228028571428,8.684665485714286,26.667029614285713,202.3218111142857,448.58662485714285,128,7,1653,500FGF_2_241223,TE,4.56224343279516,3.4933055940083415,2.2163560483616056,4.101773778157176,3.3403018236933044,500ng/ml FGF,Batch 2
203,14.56918066,12.63849682,5.1072856,4.43186042,33.14749078,160.52152518,83.68935800199999,128,5,1760,500FGF_2_241223,TE,4.354429445340347,3.71007093528877,2.293472039704107,3.429045399948942,3.557840154973572,500ng/ml FGF,Batch 2
