TrackObjects_Label_1,DAPI,SOX2,pERK,BF,OTX2,Cyto_pERK,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,SOX2_Cor,pERK_Cor,BF_Cor,OTX2_Cor,Cyto_pERK_Cor
38,30.437529967687894,3.2075867743403217,2.9211717244317117,16.0695237272227,3.121693588952127,4.538270488652843,195.2103572962211,338.49114513331705,35,38,7143,Emb1_211021,TE,4.078861741070779,1.3804315215529708,1.5871190049964352,2.7793876142730034,1.4886893105205734,2.0755083254615982
40,43.565933248938144,1.421059649845222,3.910373006751059,17.064660587534792,3.3403396014185662,4.579339937456293,199.8773025915714,150.3344839861514,33,40,2886,Emb1_211021,TE,4.399563744762707,0.5540757269475601,1.849324018224818,2.8393320108287257,1.5363679293881225,2.0523489900891314
42,39.037705453731206,1.2166638158728742,4.833837606081761,16.574329783187626,3.0078773512328696,5.432780344251702,304.9285127105058,134.29582447545846,34.5,42,3172,Emb1_211021,TE,4.318238587878289,0.40800646427770126,2.0834027654765346,2.810282884817894,1.4465454592302378,2.247367740185664
45,43.82457521207152,1.1463867580841225,3.831181792161261,16.742796151832,2.6942999480260257,3.560514432307648,335.4176445176217,375.3647484390144,36.5,45,3206,Emb1_211021,TE,4.471801178736872,0.3607929547065374,1.8803750928820042,2.820536200925864,1.3564692002072256,1.8569994372589314
46,41.99712643772852,1.392834966609078,3.314855138387634,16.44123673686199,2.667023009754379,3.7928416715618076,346.64028483342867,150.58858251573008,37.5,46,2567,Emb1_211021,TE,4.4481557970324275,0.5616431598961905,1.7503369064845113,2.80243103500141,1.3563020873345848,1.9362922072156152
47,53.62943923276282,1.2986094804347335,6.822125837666736,16.452062390953564,3.402833285287002,6.188765523495254,169.4344976113484,162.1544643739683,40,47,3628,Emb1_211021,TE,4.74002238736463,0.5069498928916374,2.5088714580110842,2.803264748804022,1.6249596256432857,2.466112138258862
48,35.93596113285267,1.0938951683265798,12.44627173465608,15.748763963322432,3.8042138011094524,9.53398566214976,163.61819263714818,259.12136269490395,41.5,48,4726,Emb1_211021,TE,4.368085734440381,0.3446243223934598,3.132190536379697,2.7596813547975065,1.7514695374911424,2.9223596986026488
49,48.24687899501809,1.455729376277888,2.9333476015066835,17.12666999884272,2.7643033664491803,5.377693032108901,240.82967244978113,120.13299691334261,40,49,2217,Emb1_211021,TE,4.634255580324251,0.6211545851276055,1.664864057359616,2.843450564298055,1.4171466660137844,2.3256384169782756
50,40.96954992275686,0.951520455222508,7.312900434056221,15.196585319986827,2.9477081110869294,7.046409239365844,160.01205297803102,209.89547895068284,41.5,50,3515,Emb1_211021,TE,4.49917600152741,0.20519902974958887,2.6004150285201866,2.7239904544579527,1.4963957847948395,2.6200187077963752
51,32.47421124204221,0.8312985915117782,6.810568178322353,16.77418687906524,2.7426476136932005,6.602110413454662,216.8055402372619,317.0634964206046,42,51,3999,Emb1_211021,TE,4.2762678377664285,0.07321182400319529,2.5366101863315493,2.8227953903079688,1.429298123415913,2.5629328653407546
